Rank,SBScore,Rating,User,Subscribers,VideoViews
357,1407,A-minus,Mr.Freeze ?,1378177,383687393
115,1580,A-minus,MR.HEART ROCKER,3118795,835907659
296,5309,B-plus,MrBossFTW,1700599,433245025
339,9776,B-plus,MrDalekJD,1601362,397342766
332,5997,B-plus,MrEdxwx,436185,405046801
68,1392,A-minus,MrLololoshka (?????É,4843019,1238872538
482,4318,B-plus,Mrmobilefanboy,686139,298661019
335,4320,B-plus,MrUnfiny,1783066,403041802
353,19511,B,MrWoofless,1797969,386188245
425,3184,B-plus,Mudja,802475,326435478
459,3033,B-plus,Mumbo Jumbo,1469065,309252941
379,11381,B,MunchingOrange,1081843,363530123
254,1177,A-minus,Muselk,1702995,488571739
370,12642,B,MxR Mods,1525360,369014128
431,3186,B-plus,MYSTIC7,1428330,323759859
358,38156,B,Na`Vi.Dota 2,1203447,381866924
73,298,A,NDNG - Enes Batur,3288200,1195708524
336,7100,B-plus,NepentheZ,1466974,402108625
410,168486,B-minus,NGTZombies,1208448,336980449
229,820,A,nickatnyte,2114783,526190222
258,1218,A-minus,Nightblue3,1745505,482784599
148,369,A,Nintendo,2537280,670958721
416,47023,B,NintendoCapriSun,407535,331221765
442,11050,B,NintendoMovies,269324,317070637
396,6501,B-plus,NISLT,599201,345939561
219,5615,B-plus,NoahJ456,2775994,535780393
375,3662,B-plus,Node,1936411,365836021
286,4697,B-plus,NoobFromUA,654085,447765410
247,3404,B-plus,Northernlion,733686,498432552
84,3203,B-plus,OfficialNerdCubed,2541151,1052681106
263,9457,B-plus,OpTic Pamaj,2923564,473434879
186,4102,B-plus,outsidexbox,1943374,605763758
214,2750,B-plus,Oyun Delisi,1892532,544199225
198,2869,B-plus,Oyun Portal,1481827,576795755
25,310,A,packattack04082,1546204,2473152998
109,1107,A-minus,Paluten,2048583,895307641
259,10565,B,paulsoaresjr,1463565,481366783
310,4809,B-plus,penguinz0,1685772,419580491
187,930,A,perpetuumworld,1303763,602361917
387,4860,B-plus,plagasRZ - ?????????É,613447,360891980
418,20108,B,Plants vs. Zombies,556418,330049799
274,900,A,PlayCow.com,430341,463645612
65,1187,A-minus,PlayStation,5360710,1381655951
457,6438,B-plus,PokeR988TV,1329238,309460773
2,48,A-plus,PopularMMOs,10911918,7861033610
331,3337,B-plus,Prestige Clips,2559049,406563111
64,399,A,PrestonPlayz - Minecraft,4129392,1403880491
472,48126,B,Protatomonster,1104742,304112244
452,2323,B-plus,Pyrocynical,1667802,314691781
